layer,mode,budget_B,effect_symKL,offmanifold_norm_ratio,variant,category
20,direction,6.1745100021362305,0.19772249460220337,0.8474125862121582,3,P_LP
20,magnitude,6.1745100021362305,0.00635555200278759,1.6404756307601929,3,P_LP
20,on_manifold_null,6.1745100021362305,0.12835103273391724,0.7329334020614624,3,P_LP
20,full,6.1745100021362305,0.18631571531295776,0.8893577456474304,3,P_LP
24,direction,9.4212064743042,0.06895410269498825,0.6929560303688049,3,P_LP
24,magnitude,9.4212064743042,0.0031233865302056074,1.3674834966659546,3,P_LP
24,on_manifold_null,9.4212064743042,0.007140317931771278,0.7184180617332458,3,P_LP
24,full,9.4212064743042,0.0687064602971077,0.7152742147445679,3,P_LP
27,direction,32.95746994018555,0.0647711530327797,0.8420081734657288,3,P_LP
27,magnitude,32.95746994018555,0.0033966077025979757,1.68606436252594,3,P_LP
27,on_manifold_null,32.95746994018555,0.8958402276039124,0.8571962118148804,3,P_LP
27,full,32.95746994018555,0.06522219628095627,0.9736467003822327,3,P_LP
12,direction,1.628151774406433,0.3125203549861908,1.5343413352966309,4,P_LP
12,magnitude,1.628151774406433,0.02600829489529133,2.0193607807159424,4,P_LP
12,on_manifold_null,1.628151774406433,0.02091221511363983,1.1954312324523926,4,P_LP
12,full,1.628151774406433,0.316110759973526,1.5518317222595215,4,P_LP
20,direction,2.699354410171509,0.373823881149292,0.8425776362419128,4,P_LP
20,magnitude,2.699354410171509,0.007171499077230692,1.1633553504943848,4,P_LP
20,on_manifold_null,2.699354410171509,0.06144733726978302,0.6877803206443787,4,P_LP
20,full,2.699354410171509,0.37906795740127563,0.8476065993309021,4,P_LP
24,direction,4.51415491104126,0.3005353808403015,0.6243102550506592,4,P_LP
24,magnitude,4.51415491104126,0.004526231437921524,0.9149052500724792,4,P_LP
24,on_manifold_null,4.51415491104126,0.02955441176891327,0.5363344550132751,4,P_LP
24,full,4.51415491104126,0.29990100860595703,0.6315950155258179,4,P_LP
27,direction,31.482107162475586,0.2558697462081909,1.0229847431182861,4,P_LP
27,magnitude,31.482107162475586,0.0401066392660141,0.1708819568157196,4,P_LP
27,on_manifold_null,31.482107162475586,0.1422388255596161,0.5440210700035095,4,P_LP
27,full,31.482107162475586,0.26071950793266296,0.8720302581787109,4,P_LP
12,direction,3.3906772136688232,0.2789986729621887,1.0043973922729492,5,P_LP
12,magnitude,3.3906772136688232,0.0009418978006578982,2.0370585918426514,5,P_LP
12,on_manifold_null,3.3906772136688232,0.1791246384382248,0.9910132884979248,5,P_LP
12,full,3.3906772136688232,0.2785211205482483,1.0623983144760132,5,P_LP
20,direction,7.536954879760742,0.22085106372833252,1.0453400611877441,5,P_LP
20,magnitude,7.536954879760742,0.07745453715324402,0.047566160559654236,5,P_LP
20,on_manifold_null,7.536954879760742,0.11164745688438416,0.8629018664360046,5,P_LP
20,full,7.536954879760742,0.22082336246967316,1.0219578742980957,5,P_LP
24,direction,15.814325332641602,0.20438256859779358,0.9490156769752502,5,P_LP
24,magnitude,15.814325332641602,0.0014376828912645578,2.0603647232055664,5,P_LP
24,on_manifold_null,15.814325332641602,0.25046655535697937,1.0354328155517578,5,P_LP
24,full,15.814325332641602,0.19890785217285156,1.0181052684783936,5,P_LP
27,direction,38.05124282836914,0.18734891712665558,0.8570820689201355,5,P_LP
27,magnitude,38.05124282836914,0.001683054375462234,1.8289612531661987,5,P_LP
27,on_manifold_null,38.05124282836914,0.01817964017391205,0.9188973903656006,5,P_LP
27,full,38.05124282836914,0.18738846480846405,0.9643599390983582,5,P_LP
12,direction,3.4204416275024414,0.5508482456207275,0.9058904647827148,6,P_LP
12,magnitude,3.4204416275024414,0.0004748268984258175,1.6293472051620483,6,P_LP
12,on_manifold_null,3.4204416275024414,0.0010986557463184,0.7504796981811523,6,P_LP
12,full,3.4204416275024414,0.5489776134490967,0.9723338484764099,6,P_LP
20,direction,5.251430511474609,0.5509021878242493,0.9617157578468323,6,P_LP
20,magnitude,5.251430511474609,0.0005056408699601889,1.7013213634490967,6,P_LP
20,on_manifold_null,5.251430511474609,0.0014083029236644506,0.7107653021812439,6,P_LP
20,full,5.251430511474609,0.5498226881027222,0.9930336475372314,6,P_LP
24,direction,7.439573764801025,0.5461744070053101,1.0851038694381714,6,P_LP
24,magnitude,7.439573764801025,0.0008143793093040586,0.4089484214782715,6,P_LP
24,on_manifold_null,7.439573764801025,0.008015833795070648,0.8945732116699219,6,P_LP
24,full,7.439573764801025,0.5464577078819275,1.0841169357299805,6,P_LP
27,direction,26.511878967285156,0.5362953543663025,1.0078387260437012,6,P_LP
27,magnitude,26.511878967285156,0.0005657493020407856,0.04608745127916336,6,P_LP
