layer,mode,n,median_effect_symKL,mean_effect_symKL,std_effect_symKL,median_budget_B,median_offmanifold_norm_ratio
12,direction,60,0.0872468389570713,0.23666048866774267,0.3853694207910715,1.655490517616272,1.3481622338294983
12,full,60,0.08515684306621552,0.23713961589479973,0.382464031247893,1.655490517616272,1.364467203617096
12,magnitude,60,0.0006036772974766791,0.013691229174188873,0.054226336463380216,1.655490517616272,1.4921008944511414
12,on_manifold_null,60,0.0014805923565290868,0.06901688929777947,0.1976105432606229,1.655490517616272,0.9808786511421204
20,direction,60,0.09050437808036804,0.23306527855068757,0.38269580897681676,2.959563374519348,0.9246141016483307
20,full,60,0.09015266224741936,0.23245291318453382,0.38179820107565393,2.959563374519348,0.9243493676185608
20,magnitude,60,0.0006271734309848398,0.018719339802980055,0.06909004327736193,2.959563374519348,0.9546392560005188
20,on_manifold_null,60,0.003939426504075527,0.08426009184207335,0.19143544231850704,2.959563374519348,0.8021305501461029
24,direction,60,0.06832009553909302,0.21958027718258866,0.3782755393083478,5.936677694320679,0.762582004070282
24,full,60,0.06816872581839561,0.21987959226292636,0.37713325504272066,5.936677694320679,0.7758764922618866
24,magnitude,60,0.0007139744702726603,0.017876989399170876,0.06282426411507273,5.936677694320679,0.7426091432571411
24,on_manifold_null,60,0.006384328939020634,0.08423855528823575,0.2565937392656138,5.936677694320679,0.6973322927951813
27,direction,60,0.06034203805029392,0.17539233411856306,0.29985492355857213,26.67117214202881,0.9085238873958588
27,full,60,0.0597325824201107,0.17558966630543485,0.29818887529876725,26.67117214202881,0.9053955078125
27,magnitude,60,0.001527965476270765,0.06504928137971243,0.22581185353783786,26.67117214202881,0.3781120926141739
27,on_manifold_null,60,0.02773597650229931,0.0763996450377211,0.13606436662559143,26.67117214202881,0.7415794134140015
